,Run,Sample,Treatment
0,Janice_20231005_AJW_HSdia_px07_FAC_1,FAC_1,FAC
1,Janice_20231005_AJW_HSdia_px07_FAC_2,FAC_2,FAC
2,Janice_20231005_AJW_HSdia_px07_FAC_3,FAC_3,FAC
3,Janice_20231005_AJW_HSdia_px07_Gu3340_1,Gu3340_1,Gu3340
4,Janice_20231005_AJW_HSdia_px07_Gu3340_2,Gu3340_2,Gu3340
5,Janice_20231005_AJW_HSdia_px07_Gu3340_3,Gu3340_3,Gu3340
6,Janice_20231005_AJW_HSdia_px07_both_1,both_1,both
7,Janice_20231005_AJW_HSdia_px07_both_2,both_2,both
8,Janice_20231005_AJW_HSdia_px07_both_3,both_3,both
9,Janice_20231005_AJW_HSdia_px07_control_1,control_1,control
10,Janice_20231005_AJW_HSdia_px07_control_2,control_2,control
11,Janice_20231005_AJW_HSdia_px07_control_3,control_3,control
