Protein.Group,eIF4E+ 8h 1,eIF4E+ 8h 2,eIF4E- 8h 1,eIF4E- 8h 2,eIF4G1+ 8h 1,eIF4G1+ 8h 2,eIF4G1- 8h 1,eIF4G1- 8h 2,eIF4G2+ 8h 1,eIF4G2+ 8h 2,eIF4G2- 8h 1,eIF4G2- 8h 2,eIF4G3+ 8h 1,eIF4G3+ 8h 2,eIF4G3- 8h 1,eIF4G3- 8h 2
A0A0B4J2D5;P0DPI2-GATD3;GATD3B,-0.19394075805545538,-0.19264681680080312,-0.21868112264799028,-0.22410141840208347,-0.19536798689633786,-0.19430958510049037,-0.20483993792816257,-0.20708668353702075,-0.18919462075213306,-0.2046927407359478,-0.1940557139754436,-0.20481052539621863,-0.197788954365405,-0.19781864870911303,-0.20613378226638193,-0.19128568903512155
A0AVT1-UBA6,-0.12727590291305882,-0.10800741857733673,-0.13340166223742422,-0.13992625686681545,-0.08901374404923937,-0.11526309634911258,-0.11999304960088963,-0.11125522915013755,-0.14025172924838403,-0.14197486102316637,-0.1331018878272487,-0.13883757953648218,-0.10368381374495529,-0.12243725477409574,-0.12480277293946197,-0.10671623310924601
A0FGR8-ESYT2,-0.15722200501781897,-0.166480782217281,-0.19069660883121387,-0.188020435248123,-0.1523549012376682,-0.1549672030218178,-0.16610683978949634,-0.172916031492598,-0.1484462246312765,-0.18098425217358258,-0.17041217572473844,-0.1710285529591121,-0.14884177249098232,-0.14745269770257638,-0.15423978387327833,-0.15515043230762615
A1L0T0-ILVBL,-0.23347105984153965,-0.24500744895662246,-0.24370649532459704,-0.24071075113674978,-0.23029876631063756,-0.23310347974867554,-0.22555516475095683,-0.22234859133155307,-0.21844277473064633,-0.2215429998452777,-0.21125102658550513,-0.2267735582084483,-0.21759701451558036,-0.2124503786478656,-0.22049188620620502,-0.2214332393407058
A1X283-SH3PXD2B,-0.2451908891953443,-0.24709541178803404,-0.24463925785726479,-0.24454768675615823,-0.21907432158047546,-0.22422838267614456,-0.2130466523933634,-0.21315164471471093,-0.22654163970738422,-0.22358090448594095,-0.23456168604265007,-0.2352405394736844,-0.2143087641932643,-0.22421996041853398,-0.2196563288988418,-0.21129894003716923
A3KMH1-VWA8,-0.2083970446644082,-0.2112667864251808,-0.23065959601676708,-0.21829261483822957,-0.21748079605230816,-0.21284522533531935,-0.2279334770753425,-0.22068421562068824,-0.24894945770617077,-0.2492515380837633,-0.24221551449280093,-0.2355591022921933,-0.21043468395988454,-0.23351903312909641,-0.2497501237331504,-0.2455620458702013
A5YKK6-CNOT1,-0.03333065270113981,-0.02781252270515262,-0.054318140101073616,-0.056137661025696096,-0.045458577084002666,-0.05221612875590434,-0.05430290517461003,-0.05914855816915818,-0.06929177811660872,-0.08030815092473269,-0.06828528097655163,-0.07077801094182717,-0.05921116496928753,-0.066672214559196,-0.05202618038644624,-0.05032444683488876
A6NDG6-PGP,-0.21872870928494892,-0.21775946201754556,-0.20749772974003194,-0.2173209437066247,-0.21881429954362547,-0.2133185863361268,-0.20658697505864124,-0.20776143892231252,-0.1996074969439921,-0.19830752306759622,-0.19756050730553312,-0.20107402300707972,-0.20486219411688503,-0.21201023825860227,-0.20745193937356396,-0.19693833244134135
A6NIH7-UNC119B,-0.24902390386060375,-0.23232209101303855,-0.2507816273842263,-0.25245966870162023,-0.24272813146541514,-0.2470599117234276,-0.2293943906258238,-0.21989227648683005,-0.24696073569497173,-0.23370166028750858,-0.22898052009848927,-0.22933964579838423,-0.2312645446715435,-0.22223078367410398,-0.23097933655525557,-0.22924850377595157
A6NJ78-METTL15,-0.26062038077495336,-0.26834986799841304,-0.2692248606967834,-0.26327071129834007,-0.2535629990226894,-0.25656998113745993,-0.25010975392803264,-0.24665164967761385,-0.2396784911474588,-0.24097605586975387,-0.23547010092707082,-0.2454923417711811,-0.24322803621201264,-0.23853042324017748,-0.24057246743412788,-0.23533403135109643
A8MWD9;P62308-SNRPG;SNRPGP15,-0.008971031238403336,-0.028799599473865744,-0.06812630814359011,-0.04493326572770028,0.004850281430609455,-0.04964305049335691,-0.030825541406500703,-0.016344751743084567,-0.0009028612592898286,-0.011123492676022912,-0.0017427819056039472,-0.012140541392943316,-0.04580422477296865,-0.00685350384632029,-0.00677539918069867,-0.05414940071619553
A8MXV4-NUDT19,-0.11250851413487248,-0.08606292879317896,-0.1483431852956588,-0.15087634676737902,-0.1121094735927124,-0.11852690994054367,-0.14628988147345942,-0.14458721533710678,-0.12681259999422073,-0.13157151121732658,-0.15360507043401214,-0.13958865990664932,-0.14657219245286693,-0.12579151635394537,-0.14347285627870793,-0.12942702711289888
B1AK53-ESPN,-0.2774897685572455,-0.275504543809047,-0.2815317132251608,-0.26070816622741844,-0.2609921396129916,-0.2663394210324456,-0.2543088839854945,-0.25303794768384485,-0.24942530776217575,-0.2507568833045626,-0.23852184623667746,-0.25465419292878483,-0.25230621775770234,-0.2504511349485124,-0.24915194928833131,-0.24110063014851274
C9JLW8-MCRIP1,-0.2667956327953817,-0.2670773626226984,-0.26531658221214793,-0.2576150265823363,-0.25592744729474237,-0.2511565145376,-0.24430987481234828,-0.2432069079372897,-0.24252825657067043,-0.2455401557749345,-0.2352467312952876,-0.24884340339597144,-0.24378129289747916,-0.24421024004165628,-0.23238363813973115,-0.23432770109874335
E9PAV3-NACA,0.18260426329559706,0.15511306576008219,0.3726949349794822,0.23174355768044458,0.17141917652008548,0.19398759670314494,0.31034383272540655,0.359568082790093,0.2862037575973212,0.3525451438894583,0.43701328966011854,0.3610200961044623,0.3122143275681891,0.31261733191915536,0.32404672123492334,0.32353691136908624
E9PRG8-C11orf98,-0.21368026562168368,-0.21360191044404403,-0.20065854893326432,-0.21057636651917536,-0.22998624800968157,-0.22720869175744232,-0.21873228868462585,-0.21072199110330983,-0.2134702713403742,-0.18813674444318787,-0.2106222743452344,-0.2249684744785107,-0.20808155632874895,-0.21844662549224575,-0.21610066631474772,-0.20226115862149732
O00115-DNASE2,-0.2688041395133312,-0.26952872112308857,-0.27509726427207565,-0.2682588537975693,-0.2600327004846497,-0.2621444578403061,-0.2505497779928795,-0.24980967235570703,-0.24293686868358202,-0.24131332003153486,-0.23765189924868138,-0.2508666250914684,-0.24719881561877263,-0.24583897051760872,-0.24303338443520098,-0.24368065641020115
O00116-AGPS,-0.11931042384662421,-0.11309678167883801,-0.1672167493912608,-0.15898950114993018,-0.08438317611728399,-0.10114468195755597,-0.11840269920646444,-0.12146716303481886,-0.12311238701458736,-0.10763254552347186,-0.14271015264496095,-0.11988181900544934,-0.1134528695023303,-0.10579879354653822,-0.10827105320569291,-0.11976992675942302
O00139-KIF2A,-0.2422068469599552,-0.23922812337518554,-0.25390391370686805,-0.2471416148518348,-0.2282211701525381,-0.22963445938534968,-0.22156586271778214,-0.21694012454481998,-0.22547993877110822,-0.22315255190036565,-0.21862736349130862,-0.2265500239866961,-0.21710281489696756,-0.21206006561811003,-0.21796386549381286,-0.20820744141499525
O00148-DDX39A,-0.18121393233008573,-0.1835521022918992,-0.19824926680150168,-0.1832972527186674,-0.16110857125399825,-0.15250397418086367,-0.16711459231878054,-0.16893640900164567,-0.1718382329237285,-0.17247853937856933,-0.17003935591562075,-0.19094609490454695,-0.16123248767939866,-0.15843692673317433,-0.1637723398551642,-0.15513271282374516
O00151-PDLIM1,-0.1832201208473156,-0.17981117386789208,-0.1961017132095658,-0.17085602983790174,-0.14606357314286592,-0.15477359898668222,-0.15257448651800004,-0.1492435707560274,-0.16543547421336272,-0.15760639006480737,-0.15853662570556343,-0.16520441193765065,-0.16536965168693463,-0.16283099195222892,-0.15505911826908345,-0.15602000173057395
O00154-ACOT7,0.1442918531537867,0.18898460624882707,0.14711394679177014,0.18753872016216755,0.2050066245407311,0.22009873215877931,0.20314931037995387,0.21841498831891484,0.10583101814931709,0.10070100298265579,0.1538547338697997,0.10680143136361726,0.12506733753013255,0.12231548884796396,0.19497053203972414,0.1489042105982538
O00159-MYO1C,0.3142098348775662,0.3656462574315109,0.3477487777637298,0.3270003653754664,0.3367733516093373,0.3307376864388912,0.397466573245453,0.3230260863800311,0.2396377912622806,0.22704311469657212,0.19191893501844326,0.2299438289734655,0.31160959414650513,0.4025628451499098,0.29181292884345006,0.295517001228893
O00165-HAX1,-0.27137218560729176,-0.2742924591848967,-0.27857113173862147,-0.2685418486829557,-0.2633317940260638,-0.26416624157577695,-0.25491523468031546,-0.25057171727632344,-0.2461399962225719,-0.2517135379821723,-0.24086717045343203,-0.25464367918350983,-0.24760405198622232,-0.24788516713364434,-0.24939794188051398,-0.24344544959894132
O00178-GTPBP1,-0.2546868996568967,-0.254682261214135,-0.25830334241539127,-0.25160297210755017,-0.2517170576848456,-0.2418608448588501,-0.23189388773597763,-0.23915895535418288,-0.24800145419082828,-0.24937943779909524,-0.230910917241365,-0.2424402931168233,-0.23008659440805698,-0.22999644552526022,-0.23761574073448086,-0.22974142846787005
O00186-STXBP3,-0.26591037769850967,-0.2667067624120324,-0.27623001909193345,-0.26671657353557915,-0.2594083953114425,-0.2577479488061841,-0.24899807075125732,-0.25012201237604675,-0.24530210682423587,-0.246411263393744,-0.24275208637487183,-0.24886673905991277,-0.25056254072437234,-0.24897198146328803,-0.2466103939311814,-0.24332396490039207
