Protein.Group,ANOVA_pvalue,eIF4E+ vs. eIF4E- Tukey Test,eIF4E+ vs. eIF4G1+ Tukey Test,eIF4E+ vs. eIF4G1- Tukey Test,eIF4E+ vs. eIF4G2+ Tukey Test,eIF4E+ vs. eIF4G2- Tukey Test,eIF4E+ vs. eIF4G3+ Tukey Test,eIF4E+ vs. eIF4G3- Tukey Test,eIF4E- vs. eIF4G1+ Tukey Test,eIF4E- vs. eIF4G1- Tukey Test,eIF4E- vs. eIF4G2+ Tukey Test,eIF4E- vs. eIF4G2- Tukey Test,eIF4E- vs. eIF4G3+ Tukey Test,eIF4E- vs. eIF4G3- Tukey Test,eIF4G1+ vs. eIF4G1- Tukey Test,eIF4G1+ vs. eIF4G2+ Tukey Test,eIF4G1+ vs. eIF4G2- Tukey Test,eIF4G1+ vs. eIF4G3+ Tukey Test,eIF4G1+ vs. eIF4G3- Tukey Test,eIF4G1- vs. eIF4G2+ Tukey Test,eIF4G1- vs. eIF4G2- Tukey Test,eIF4G1- vs. eIF4G3+ Tukey Test,eIF4G1- vs. eIF4G3- Tukey Test,eIF4G2+ vs. eIF4G2- Tukey Test,eIF4G2+ vs. eIF4G3+ Tukey Test,eIF4G2+ vs. eIF4G3- Tukey Test,eIF4G2- vs. eIF4G3+ Tukey Test,eIF4G2- vs. eIF4G3- Tukey Test,eIF4G3+ vs. eIF4G3- Tukey Test
A6NCE7;Q9GZQ8-MAP1LC3B;MAP1LC3B2,0.0006606102292219731,0.0003612912779336064,0.39632394343097455,0.0024170065646469396,0.04591069968319239,0.01682684925544098,0.0062317711316982605,0.021418200610630933,0.0029828761757895172,0.4918953496199463,0.020912817360525082,0.05774343204646093,0.17409347005078324,0.044782915992073846,0.0318722523563969,0.6697054657883151,0.2929167334393943,0.09952284360580732,0.3687900516345768,0.2842040853562746,0.6562230969121339,0.977896619777825,0.5510132911100871,0.9868011573755069,0.6993644405121694,0.9974364583595137,0.9818276529912238,0.9999984519582599,0.9480022436280964
A8MWD9;P62308-SNRPG;SNRPGP15,0.06549579407521153,0.7177670343645153,0.3652143801047095,0.9018780263728725,0.9961532213684877,0.948232312398093,0.9999985741812608,0.9999992087805096,0.04697338100927928,0.9997827404586382,0.964080171926556,0.998199584000878,0.6136682945586291,0.6222226460524396,0.07987957349594177,0.16542801046610267,0.09854362058900934,0.4523987805960631,0.44482442856602833,0.9983837677600503,0.9999996164623457,0.823904756131621,0.8310626926746479,0.9998148896074097,0.9828196437899744,0.9845039385692183,0.8899989538961373,0.895704539794469,0.9999999999999633
C9JLW8-MCRIP1,0.009966987657762594,0.17135387992353668,0.1370265220476552,0.8331847985383546,0.9920601092948904,0.9679043783852196,0.9814604134216713,0.9997314404057039,0.003820959495152265,0.028831831842561217,0.06623458711846575,0.050038353041068295,0.05658913782122876,0.2902510267923478,0.6565808941498015,0.3406032954542709,0.43404768109877045,0.3910513235475124,0.0790020218029891,0.9960583781614363,0.9996887955620991,0.99888952194083,0.617534538527224,0.9999970376099134,0.9999999462969128,0.9188216238080618,0.9999999900689472,0.8374537615328157,0.8767386938853323
E9PAV3-NACA,0.008857894153104773,0.10437403393803746,0.5126664451857512,0.22524648823500593,0.6477690538770633,0.30395951947258093,0.3453835423808611,0.35349232290924637,0.008572886382255618,0.9975684150469182,0.7398609493955961,0.9824523579247461,0.9670607282846697,0.963444253177054,0.017441881705489104,0.05967920396903448,0.023586664934200585,0.027015898364257773,0.0277061221902839,0.96316883814357,0.9999930153299499,0.9999165868422883,0.9998795968239955,0.9922049659539242,0.9969858102353626,0.9975316785520671,0.9999999747561708,0.9999999177458063,0.99999999999981
E9PRG8-C11orf98,0.02791486669496823,0.020842720806970916,0.99917372847783,0.4781592642226131,0.6560921103523618,0.9968458762620027,0.4984694832088997,0.2798205798382243,0.03922918292512545,0.29286318603426686,0.19232454832188295,0.04585124445663824,0.2788184276334299,0.4969788941004484,0.7427440335167046,0.8943494008379603,0.9999999449218113,0.7634937513698177,0.492796774183601,0.9999367843511136,0.8030613820068495,0.9999999999733861,0.9994374392839281,0.9327750991400701,0.9999732379182176,0.985620583659542,0.8220119029799361,0.5553150254984911,0.9990491524091943
O00154-ACOT7,0.08401000320506549,0.5422921917157824,0.998617523580127,0.1840527110882879,0.9999999959634134,0.9917186474584665,0.9999892221068719,0.8117067022717452,0.29853777545333093,0.9697959034066793,0.4994025959434141,0.9014030690857863,0.6818388461318423,0.9990194397996357,0.09069913895145831,0.9995175521683883,0.8737044249565862,0.9861760227243727,0.5271840717142923,0.16538536022518546,0.44272926319943695,0.2553570413203208,0.7993204714063946,0.9849305303353262,0.9999298050356933,0.7713398585057798,0.9994246743877242,0.9943055510089535,0.9151057617380731
O00159-MYO1C,0.0014281518299568182,0.008237591623456608,0.9828867280937278,0.02267390229904731,0.9999999833643801,0.9997823699956829,0.5371294687943301,0.999999999999925,0.0032602786270208295,0.9821325926990216,0.007326502513651523,0.01330998889462065,0.09376178941219881,0.008406310436136044,0.008302062734982796,0.9916734689042681,0.8865669718942533,0.20539564450756265,0.9808772082524401,0.019979636567199366,0.03795104224489143,0.2763118793680598,0.02317498955979158,0.9990825094423713,0.4850249310904109,0.9999999497578623,0.7541398456663401,0.9998369951052329,0.5463094376659176
O00193-SMAP,0.17313345745392286,0.26756714275892257,0.9984536696889581,0.6432813387751459,0.999930621439807,0.9969003342203127,0.9830894955800324,0.9899328628088285,0.1322601512288506,0.9843190143004328,0.40011645476336366,0.5351234394657853,0.6495449974522991,0.60897135908715,0.36819469281098083,0.9752820826860557,0.910824006033318,0.8268220737993657,0.8593502113599613,0.8194310689227109,0.9255136614502693,0.9728913153845091,0.9597107110774904,0.9999832397091754,0.9992681499454517,0.9997486586704207,0.9999971680882598,0.999999857125723,0.9999999980395742
O00217-NDUFS8,0.0031877376541166185,0.006513672545969462,0.9647937600821241,0.46559155975230604,0.9999999999986096,0.809332869613314,0.9492724380941113,0.999957270702978,0.0023087957199554587,0.0862163466767828,0.006320601247024493,0.03653151203246452,0.0223347070897717,0.004565930399782592,0.1459027242068781,0.9694225399948249,0.33317554373510194,0.5104177287153966,0.9961845907847077,0.45269596145726465,0.9954747598303699,0.9458244524211409,0.3259190370559618,0.7966685572836133,0.9428647826295049,0.9999762563782779,0.9998373414120335,0.6444855803021639,0.8414978856070593
O00220-TNFRSF10A,0.0016884725912540638,0.009466476263949808,0.20518987525479282,0.9418890289893831,0.9980881810158573,0.9717039842499914,0.9998936838453617,0.9997118439201337,0.0005535552614943651,0.03496797639182547,0.00493612786692299,0.029036146813520847,0.006222718684836481,0.015715627586870617,0.05121357263772641,0.4079570472656532,0.06195522463945358,0.3215993436481429,0.11846217320753871,0.7010135371026281,0.9999997949607314,0.8064011821463387,0.9962162945453142,0.7766924822244565,0.9999977028083508,0.9575531715956878,0.8703506119317774,0.9992348444826539,0.9873738114790871
