Protein.Group,ANOVA_pvalue,eIF4E+ vs. eIF4E- Tukey Test,eIF4E+ vs. eIF4G1+ Tukey Test,eIF4E+ vs. eIF4G1- Tukey Test,eIF4E+ vs. eIF4G2+ Tukey Test,eIF4E+ vs. eIF4G2- Tukey Test,eIF4E+ vs. eIF4G3+ Tukey Test,eIF4E+ vs. eIF4G3- Tukey Test,eIF4E- vs. eIF4G1+ Tukey Test,eIF4E- vs. eIF4G1- Tukey Test,eIF4E- vs. eIF4G2+ Tukey Test,eIF4E- vs. eIF4G2- Tukey Test,eIF4E- vs. eIF4G3+ Tukey Test,eIF4E- vs. eIF4G3- Tukey Test,eIF4G1+ vs. eIF4G1- Tukey Test,eIF4G1+ vs. eIF4G2+ Tukey Test,eIF4G1+ vs. eIF4G2- Tukey Test,eIF4G1+ vs. eIF4G3+ Tukey Test,eIF4G1+ vs. eIF4G3- Tukey Test,eIF4G1- vs. eIF4G2+ Tukey Test,eIF4G1- vs. eIF4G2- Tukey Test,eIF4G1- vs. eIF4G3+ Tukey Test,eIF4G1- vs. eIF4G3- Tukey Test,eIF4G2+ vs. eIF4G2- Tukey Test,eIF4G2+ vs. eIF4G3+ Tukey Test,eIF4G2+ vs. eIF4G3- Tukey Test,eIF4G2- vs. eIF4G3+ Tukey Test,eIF4G2- vs. eIF4G3- Tukey Test,eIF4G3+ vs. eIF4G3- Tukey Test
A6NCE7;Q9GZQ8-MAP1LC3B;MAP1LC3B2,0.05970160651795826,0.08129773783575045,0.9999806619867951,0.3958907304264436,0.9999999999995304,0.7560586327249649,0.9999784357703805,0.9174060661176767,0.11787357502375684,0.8809120001187869,0.08376312764102989,0.5291930341424897,0.1185843995109005,0.35122023859065765,0.5332471862716959,0.999989056521729,0.8838627919569017,1.0,0.9788780697718205,0.40605469872597844,0.9935562581950877,0.5356420116072584,0.9376502897802872,0.7675987691390922,0.9999876735810381,0.9243373847212949,0.8855839979955551,0.9998601236973652,0.9794605771496031
A8MWD9;P62308-SNRPG;SNRPGP15,0.09166493729057164,0.6590408107915452,0.6145300040027983,0.9039067396701411,0.9962277628289062,0.9590753393803855,0.9829249402789003,0.9999999840460067,0.07889739565064569,0.9989169521020157,0.34431119400968424,0.992131723750348,0.9772896576061464,0.604261821989662,0.15626902302811974,0.915602998489353,0.2029774788963522,0.2465823829656969,0.6693168917113872,0.5953081954663657,0.9999979639668306,0.9999055796734397,0.8661856590499879,0.7051581855188307,0.7848459393779368,0.9986822235544536,0.9999996936055814,0.9351996161197822,0.9689666400548906
E9PAV3-NACA,0.05730195824773034,0.4305727716157046,0.6562836258981981,0.717705458325727,0.9344098191366224,0.7771889946520023,0.8586378340076969,0.9999999943176296,0.04900714719393018,0.9984830677531128,0.9423018438392082,0.9951904673321239,0.9818379505419068,0.39098835237973373,0.10079743056829327,0.19611684961025477,0.11730897848464483,0.14787471003181385,0.7032375770546171,0.9990404599369193,0.9999999595714011,0.9999755343819744,0.6710189754873103,0.9998158279924967,0.9999966253707581,0.908013563696298,0.9999992133991908,0.7326161149809031,0.8203991465280184
E9PRG8-C11orf98,0.24242000415913809,0.7388479440975065,0.8465295113077278,0.9842961532727164,0.9999999999586808,0.9999732745127421,0.9999947076988863,0.9499856823803811,0.17410595676549612,0.9909651788374843,0.7162205877225238,0.876390102885397,0.613429208320462,0.9987551874062441,0.4277046321416007,0.8645874442790551,0.70043854014967,0.9305888377878917,0.33731906495357666,0.9793496650238507,0.998882927385106,0.9442039649364863,0.9999975028926071,0.9999334973881376,0.999998695767704,0.9394273278442568,0.9987975836930897,0.9915779174454279,0.8775328846143331
O00154-ACOT7,0.00023472252853881382,0.0005969943526560328,0.6769788618027911,0.9825561897735225,0.9999616953215128,0.9629885632338603,0.9996754224716806,0.777364030170617,0.00014831860145303466,0.0013038288243056861,0.000452981248284301,0.0002606833396265884,0.0008863281950117763,0.0025088398874761886,0.2830016625521128,0.8345171400025141,0.9929166370873099,0.45065978842782195,0.12339915317702521,0.9175738561472269,0.6092319969693072,0.9997873197337316,0.9957942445084117,0.9956284214278532,0.9908244228398358,0.6115372837099645,0.819532716408873,0.3045486010721089,0.9438419205967749
O00193-SMAP,0.07153049726108776,0.12110789843094993,0.9980319397956839,0.9967783789495732,0.999994621693093,0.998663360880976,0.9315385310902514,0.7269867597519033,0.05700960997100912,0.26860537689953445,0.08902514715672671,0.24231910211940177,0.4663498944969665,0.7218372869092207,0.9021133221617319,0.9999332568351359,0.9284194194956708,0.6787168081546788,0.4277284624752684,0.9802040342990083,0.9999999958846472,0.999360658089072,0.963851298354423,0.9886425605571457,0.8477457402284702,0.6008705726814787,0.9982528946304564,0.9460757089237049,0.9993284636548695
O00232-PSMD12,0.10020350468164761,0.14160466452102205,0.9991037837895655,0.9999191582023329,1.0,0.9487088405296907,0.9356028157745303,0.9999999615987069,0.07288731282599237,0.22195964317362138,0.14172482342833836,0.4925926529195582,0.5191490613697342,0.1643473822694862,0.9803329939579775,0.9990964760502627,0.750049441492263,0.7229322293754069,0.9968349279118476,0.9999201549937644,0.9942813121375572,0.9912898323236454,0.9999944987323023,0.9488609658764583,0.9357782009289409,0.9999999630903925,0.9999999998455017,0.9711892222997061,0.9620476900546596
O00299-CLIC1,0.06540645482832587,0.09811405839673604,0.999999876943646,0.18325839378673814,0.7716844791021812,0.22461395265219375,0.7202020684255497,0.7264756775515226,0.11723585420820759,0.9993670029006961,0.5886152066139168,0.9962303749637296,0.6425920776755332,0.6361322789580074,0.2178033547690863,0.8360280416529315,0.2658995524770239,0.7894089162701303,0.7951995732040346,0.8358622561026353,0.9999996116873753,0.8774154297613723,0.8727600472088431,0.8995937259217487,0.9999999854288993,0.9999999939944404,0.9310550880052202,0.9276580736781153,0.9999999999999949
O00303-EIF3F,0.00020768679889780666,0.0011107177758551412,0.9991205669817552,0.005638062223791818,0.9999999966799177,0.009038704724802282,0.31120587406191635,0.011505937086852769,0.0006935794849176613,0.7368331998652249,0.0012002676084135189,0.5164832285031369,0.015608033198429294,0.41646278865730046,0.0032482050187485623,0.9977850036254137,0.005087879977811349,0.16546845626685747,0.006401984841035824,0.006174215057460852,0.9997594177921374,0.11646389332924811,0.9969394801980531,0.00993536008068685,0.3423466323825284,0.012670633491362437,0.19887963015638166,0.9999978667465206,0.25723821688412607
O00410-IPO5,0.00019943332036639544,0.0006928107151247254,0.4975975229779718,0.9997149804030707,0.93462141355112,0.9964474362721827,0.9999261811565988,0.995142352002599,0.00013008957372995233,0.0010268574383949236,0.0002697270321461165,0.0003962095010250355,0.0005087283552736022,0.00038476935742104423,0.3103326800916557,0.9704692530534472,0.8268955430836291,0.6813175420882813,0.8421472936020074,0.7638492879721672,0.9437498188291302,0.9890641176135441,0.9348478480201289,0.9995227433294389,0.9907164477727015,0.9997113108044163,0.9999781640633165,0.9999999999917094,0.9999534037271217
