Protein.Group,ANOVA_pvalue,eIF4E+ vs. eIF4E- Tukey Test,eIF4E+ vs. eIF4G1+ Tukey Test,eIF4E+ vs. eIF4G1- Tukey Test,eIF4E+ vs. eIF4G2+ Tukey Test,eIF4E+ vs. eIF4G2- Tukey Test,eIF4E+ vs. eIF4G3+ Tukey Test,eIF4E+ vs. eIF4G3- Tukey Test,eIF4E- vs. eIF4G1+ Tukey Test,eIF4E- vs. eIF4G1- Tukey Test,eIF4E- vs. eIF4G2+ Tukey Test,eIF4E- vs. eIF4G2- Tukey Test,eIF4E- vs. eIF4G3+ Tukey Test,eIF4E- vs. eIF4G3- Tukey Test,eIF4G1+ vs. eIF4G1- Tukey Test,eIF4G1+ vs. eIF4G2+ Tukey Test,eIF4G1+ vs. eIF4G2- Tukey Test,eIF4G1+ vs. eIF4G3+ Tukey Test,eIF4G1+ vs. eIF4G3- Tukey Test,eIF4G1- vs. eIF4G2+ Tukey Test,eIF4G1- vs. eIF4G2- Tukey Test,eIF4G1- vs. eIF4G3+ Tukey Test,eIF4G1- vs. eIF4G3- Tukey Test,eIF4G2+ vs. eIF4G2- Tukey Test,eIF4G2+ vs. eIF4G3+ Tukey Test,eIF4G2+ vs. eIF4G3- Tukey Test,eIF4G2- vs. eIF4G3+ Tukey Test,eIF4G2- vs. eIF4G3- Tukey Test,eIF4G3+ vs. eIF4G3- Tukey Test
A0A0B4J2D5;P0DPI2-GATD3;GATD3B,0.18731744899685376,0.9999969166152564,0.999031952331133,0.9893366162474806,0.3409560787494208,0.877330596798095,0.9548674129314165,0.35755020274850136,0.9919163931822585,0.9604986069396583,0.2629597454899807,0.7810177265877307,0.8923767177666456,0.27648548218375923,0.9999909974530841,0.5858389636071464,0.9903024893941673,0.9992116553061652,0.6078766336171866,0.7219480520464971,0.9991754028691614,0.9999930363241883,0.7433290802010092,0.9332896298307523,0.8409928937008353,0.9999999999713886,0.9999901046349167,0.9439829496966816,0.8584418811536849
A0AVT1-UBA6,0.21718108453992271,0.9977072305652883,0.9994002466587485,0.9999998188297117,0.7688418564080404,0.3378695041469657,0.9973787602298839,0.998044713210473,0.9418706352409981,0.9916852692464305,0.45952158930004705,0.162379699992788,0.9043024808282656,0.9136146343625647,0.9999431505129724,0.9500856192331352,0.5618154323099238,0.9999999236058141,0.9999999867774451,0.836962209597608,0.39818557233740604,0.9995236218421838,0.9996839905013296,0.9793777605340882,0.9739392300861817,0.9695084236837417,0.6299392905006971,0.6146659032946984,0.9999999999978821
A0FGR8-ESYT2,0.04110088245155387,0.9907298771377144,0.9627218396584933,0.972837797015852,0.14961782660687561,0.24486126466695468,0.878460964954947,0.25686115536877185,0.6576220697872301,0.6895040107350544,0.056261353333901365,0.0933278645674982,0.5022480477800151,0.09818278144061687,0.9999999996256681,0.4806257146185746,0.6851190952742452,0.999975929631866,0.7057776904695041,0.45169471657555016,0.653201391902269,0.9999171012175689,0.6740741410615689,0.9998449404753378,0.6343307923425829,0.9997105113851738,0.831964083648226,0.9999999999809827,0.8488697927407808
A0MZ66-SHTN1,0.2730956797585791,0.9998218861285375,0.9999835794736334,0.9999982199206613,0.6667355804036342,0.6382712938408357,0.6761730229624829,0.9967136488306444,0.9950145975929237,0.997588499327437,0.4598150978432489,0.4346790761512277,0.46835296063318443,0.9525762433658391,0.9999999977130026,0.8089008734418358,0.783543961033927,0.817075450191645,0.9999207617296235,0.771603351599423,0.7448323758509969,0.7803121204858026,0.9997069822326076,0.9999999998352552,0.9999999999999256,0.9391985358155648,0.9999999987743718,0.9245703465701867,0.9436421155207361
A1L0T0-ILVBL,0.45899879091443424,0.9978168474532343,0.9912416476275219,0.9965323014154421,0.32130778592317444,0.8198430057502328,0.9840118981093139,0.9849451946801212,0.9999996916096072,0.9999999999311459,0.5972531654037065,0.9848288247043069,0.999993754646958,0.9999952065202357,0.9999999740384424,0.6810283381924627,0.9954101410195338,0.9999999953529674,0.9999999978945636,0.6223201955382771,0.9890094103020741,0.9999985751262145,0.9999989779682258,0.9541373806592606,0.7261817082002305,0.7213990355668072,0.9979923129907976,0.9977903114600198,0.9999999999999992
A1X283-SH3PXD2B,0.010494568843677951,0.9998948559739214,0.9999999999949931,0.9999948397007701,0.2136603705655684,0.03746214593968522,0.25874801511813916,0.985866785671907,0.9999429311051165,0.9999999032467276,0.1336537752761,0.023609875861266616,0.16309979581153045,0.9114717922378113,0.9999981217833886,0.20519613652464763,0.03596095397690113,0.248734157805657,0.982557547070943,0.15849766680701483,0.027839856592758894,0.19303176835782354,0.9482062552990841,0.8474988624026645,0.9999997143812459,0.5382801067534712,0.7760720368163695,0.10715831986827262,0.6201086311332586
A2RRP1-NBAS,0.006490779337510542,0.9999995997707714,0.5609384964566422,0.8925681812750101,0.052642812877491396,0.26344751257658605,0.12258273434354172,0.010594764448138672,0.47812436252826207,0.8266709187721859,0.042736587262970804,0.21555018150914862,0.09926895812459147,0.008774092424227775,0.9949655280831491,0.546460370962131,0.9945532847711622,0.8720901772964345,0.11720342610272538,0.2575658747107574,0.8414198954131777,0.5324840106443072,0.04863416055261194,0.8858380979942057,0.9960387096470291,0.8693635785771396,0.9974858705248241,0.2795455168314823,0.5428544848011443
A3KMH1-VWA8,3.1387220607972565e-07,0.47725435188777277,0.01209519660766356,4.504495483392823e-05,3.0227748369915375e-06,1.3174262713855356e-05,7.064804844136852e-06,7.0613192778568035e-06,0.001307571789687323,1.2575199727082875e-05,1.1785731335312022e-06,4.327672422310691e-06,2.502936102599662e-06,2.5018464773207683e-06,0.0029642797761147976,5.2693027414507654e-05,0.0004464102273167292,0.00017762388276776342,0.00017749609573414205,0.016009855690763297,0.5180785513174007,0.13580208326467447,0.13563928390649693,0.20342831367914516,0.6856305597808289,0.686124641644386,0.9272005842841285,0.9269334615884757,1.0
A3KN83-SBNO1,0.6263656055024731,0.9999993044819985,0.9941578458914221,0.8752951491076829,0.7984628713574771,0.6729605506966119,0.9965451795689375,0.9157888002774741,0.9990069324394772,0.9334497831819069,0.8748985046824468,0.7646121073209955,0.9995403183797958,0.9604443803823641,0.9978780364240887,0.9899962960304316,0.956868527702224,0.999999999647381,0.9994639098115884,0.9999992759681859,0.9997394375829397,0.9962080921490476,0.9999999623486404,0.999993183186885,0.9848911242639541,0.9999773333821249,0.943462133673544,0.9987736367618416,0.9988651643281818
A4D1E9-GTPBP10,0.17369623239969473,0.9996239717690504,0.9992240220653772,0.9990181791144471,0.5978834979950636,0.48906850555498715,0.7823321321739896,0.4708509784165993,0.9686283763392384,0.9653492992285198,0.3794612001006621,0.29743553372367226,0.5478419933974459,0.2845415220295259,0.999999999999878,0.8501317779658324,0.751474955477599,0.9600817297823779,0.7324869888623873,0.8580276164637792,0.7610551386286596,0.9636938680711816,0.7422507938931426,0.9999976407098176,0.9999216204224685,0.9999928216221468,0.9983871897023882,0.9999999999867842,0.9976130381221708
