Protein.Group,ANOVA_pvalue,eIF4E+ vs. eIF4E- Tukey Test,eIF4E+ vs. eIF4G1+ Tukey Test,eIF4E+ vs. eIF4G1- Tukey Test,eIF4E+ vs. eIF4G2+ Tukey Test,eIF4E+ vs. eIF4G2- Tukey Test,eIF4E+ vs. eIF4G3+ Tukey Test,eIF4E+ vs. eIF4G3- Tukey Test,eIF4E- vs. eIF4G1+ Tukey Test,eIF4E- vs. eIF4G1- Tukey Test,eIF4E- vs. eIF4G2+ Tukey Test,eIF4E- vs. eIF4G2- Tukey Test,eIF4E- vs. eIF4G3+ Tukey Test,eIF4E- vs. eIF4G3- Tukey Test,eIF4G1+ vs. eIF4G1- Tukey Test,eIF4G1+ vs. eIF4G2+ Tukey Test,eIF4G1+ vs. eIF4G2- Tukey Test,eIF4G1+ vs. eIF4G3+ Tukey Test,eIF4G1+ vs. eIF4G3- Tukey Test,eIF4G1- vs. eIF4G2+ Tukey Test,eIF4G1- vs. eIF4G2- Tukey Test,eIF4G1- vs. eIF4G3+ Tukey Test,eIF4G1- vs. eIF4G3- Tukey Test,eIF4G2+ vs. eIF4G2- Tukey Test,eIF4G2+ vs. eIF4G3+ Tukey Test,eIF4G2+ vs. eIF4G3- Tukey Test,eIF4G2- vs. eIF4G3+ Tukey Test,eIF4G2- vs. eIF4G3- Tukey Test,eIF4G3+ vs. eIF4G3- Tukey Test
A0A0B4J2D5;P0DPI2-GATD3;GATD3B,0.001871383993674762,0.9935439812585322,0.3648541931793772,0.2669948323595226,0.007099383124008818,0.016187504019368304,0.0584017548321617,0.027656772319361478,0.15306397001701322,0.10865572330933182,0.0032750677625663638,0.007071297211907579,0.023787435423584857,0.011694891891816939,0.9999884344020198,0.1272927585796907,0.30781950379022516,0.8029094401866266,0.49795596926235264,0.1789190716992758,0.4163196124507663,0.9099733473031131,0.636823762213121,0.9937268900624717,0.6614960520898907,0.924217494835984,0.9541547828483221,0.9996804617909789,0.9978909661251145
A0AV96-RBM47,0.17153989977801454,0.843546469074229,0.9999375367303388,0.9999918229070084,0.6517685967097699,0.9862733522772371,0.9896905293778744,0.6909342443767454,0.6752831200900359,0.7219809547774203,0.13966644779381987,0.4338489875780478,0.453039625506216,0.15349285554463454,0.9999999942264584,0.8241700762122259,0.9994835224605063,0.9997129522573255,0.8559547091718306,0.7825646703077626,0.9984639716821366,0.9990445335530146,0.8173324895775725,0.970417601411738,0.9633681709168229,0.999999998428014,0.9999999999741812,0.9806445162656966,0.9753383187693301
A0AVT1-UBA6,0.0010709260233379737,0.40023706975937234,0.7649139762984748,0.9970262620891954,0.007600820645766615,0.03389405602479445,0.3442895105053836,0.2272173597443642,0.05874952747748985,0.1900431012788144,0.000770193677533948,0.002564308506923574,0.020111592437772052,0.013248676388026626,0.9746594778386688,0.048896655535013656,0.2414056843346294,0.9822361220370956,0.9073109186486665,0.01573864565327121,0.07527612405092188,0.6455463052216638,0.46626738672118295,0.8909099607987943,0.14687321627810623,0.2276293132272874,0.608646865041354,0.7889927443843898,0.9999307209244951
A0FGR8-ESYT2,0.005261279599499933,0.8635804015770654,0.7379678667986183,0.8515380564565157,0.022705627341563783,0.048089772750573134,0.5357931441372581,0.27965461569859285,0.18304633558921002,0.24710934831353237,0.004907606226591366,0.009598095238213977,0.11199465962685884,0.05208429907780643,0.999994148418925,0.17251771383419545,0.3567408641979847,0.9998657301116143,0.9642547643970039,0.12672934303552108,0.26876576501773297,0.9970160596176382,0.9014948577210464,0.9977114931564406,0.2775545537176758,0.5325666725641491,0.5349922025440146,0.8374674746602069,0.997819760299075
A0MZ66-SHTN1,0.1824961976825227,0.997174374347229,0.9997978393975738,0.9999971208672468,0.8358617255981132,0.2669614319810085,0.9612552376796516,0.9908758746562216,0.954287968901422,0.9840428004264703,0.5199049602420116,0.1224470703739986,0.7268621741315293,0.8406035086657334,0.9999988222557863,0.9640813286827506,0.4266035905400658,0.9980051738834843,0.9999299527673012,0.917426384788636,0.34501378181141085,0.9894694643255432,0.998799671634663,0.9008515317365193,0.9998422334750541,0.9968597433423952,0.7263815171083984,0.6008989084533085,0.9999948081053864
A1A4S6-ARHGAP10,0.09418934722165449,0.9963048693338298,0.9703679511374547,0.9951479084420896,0.3677158582868677,0.5691806847336283,0.9855794378291365,0.7038932449501505,0.7390072667417953,0.9999999999967636,0.1676362766060604,0.28307567410562884,0.7983785594244672,0.37993089731385254,0.7233278432809951,0.8335151300431023,0.9657093388992923,0.9999999525912608,0.9933712854292838,0.16126720225339963,0.2729171179947597,0.7837889380166811,0.36717231919144855,0.9997462570550404,0.7775444202310479,0.9952029304980752,0.9398757737442021,0.9999916806417462,0.9841781574394028
A1L0T0-ILVBL,0.001534179712160451,0.29111136765182954,0.5097996823647208,0.9583316096146378,0.020363756198159888,0.07909234775967955,0.5422682855460879,0.06331855154531618,0.02239638632823271,0.08131834201401134,0.0012971401262020787,0.003834684907459529,0.024220109516675747,0.0031969302099121855,0.9563986450026322,0.2651733067616253,0.7645199229164545,0.9999999994394609,0.675290530702194,0.0726528829235612,0.2837473460759171,0.9683031452525646,0.2300824873271704,0.9437031814740009,0.24541784996207383,0.9762825761437793,0.7322871799114039,0.9999994196661345,0.6414056750287238
A1X283-SH3PXD2B,0.014982078690324223,0.7321474961948851,0.9999999920412981,0.990278545188311,0.34627658919845883,0.10241599507063459,0.9767036440458051,0.9726076239533646,0.7788877641940608,0.9839679255543334,0.045847831746574585,0.013712003546387352,0.303032700694552,0.292938934231853,0.9953996390656822,0.3108388386984825,0.09080870156996901,0.961606218286909,0.955899636043128,0.1348549047837464,0.0383402962421745,0.7003815992446513,0.6853032122090653,0.9640673128210913,0.7893494715284874,0.8029318672977939,0.3156900988601602,0.3263960694422703,0.9999999999979178
A2RRP1-NBAS,0.13816000712105703,0.9993560500193187,0.9489036685815013,0.8806598019914353,0.8158099130205554,0.2823230621874928,0.6496943733798566,0.3766110303814668,0.7635803687711523,0.6464673339077807,0.5643387100635959,0.15376275124134475,0.40460821042489603,0.21042171289677225,0.9999964020407356,0.9998754697695134,0.7793672234496982,0.9938049138151953,0.8867610074419204,0.9999997239583089,0.8779426227955673,0.9994053481044081,0.952592583515681,0.9292629022518226,0.9999533111298496,0.9790216531488304,0.9873922611660815,0.9999928612240033,0.9985873011829741
A3KMH1-VWA8,0.004380608365795564,0.999919915832533,0.9959565447129233,0.9801046079583774,0.023886891623368878,0.10342309820604212,0.8296567162901602,0.022440906417730444,0.9574685526928224,0.8985620835697441,0.01551589889568783,0.06536841431624252,0.6514033532729178,0.014602944765939041,0.9999973787474026,0.054687085156956416,0.23844684620101697,0.9917372462847658,0.05124380587133237,0.07207589094200706,0.3087297208426907,0.9989346596612677,0.06750661855228257,0.9228403083580782,0.14263105820907274,0.9999999998842903,0.5453674820350884,0.9069795469199036,0.13363413680406655
